Metric,Instrument,Score,Model,Precision,Recall,F1,Onset Precision,Onset Recall,Onset F1,Onset-Offset F1
MFCC Similarity,Flute,0.9854824923235794,MT3,0.0023078500731364,0.0078644888082274,0.0035044264274637,0.2272602464178197,0.1604000452337269,0.4559765073603549,0.0004766265466922
MFCC Similarity,Flute,0.9854824923235794,basic_pitch,0.0,0.0,0.0,0.2057222985472161,0.1631012201817053,0.2981657928345768,0.0
Embedding Similarity,Flute,0.933787667545779,MT3,0.0023078500731364,0.0078644888082274,0.0035044264274637,0.2272602464178197,0.1604000452337269,0.4559765073603549,0.0004766265466922
Embedding Similarity,Flute,0.933787667545779,basic_pitch,0.0,0.0,0.0,0.2057222985472161,0.1631012201817053,0.2981657928345768,0.0
MFCC Similarity,Tenor saxophone,0.9792817374493212,MT3,0.1068335157102444,0.2486054083198539,0.1445005453760915,0.2626855683314123,0.1841086116770246,0.5419725436522749,0.0737390771363881
MFCC Similarity,Tenor saxophone,0.9792817374493212,basic_pitch,0.1478786284804008,0.3135135415370577,0.1977525692238631,0.3369905240148094,0.249408915765137,0.5499201609224006,0.0862616992517045
Embedding Similarity,Tenor saxophone,0.9575130723892374,MT3,0.1068335157102444,0.2486054083198539,0.1445005453760915,0.2626855683314123,0.1841086116770246,0.5419725436522749,0.0737390771363881
Embedding Similarity,Tenor saxophone,0.9575130723892374,basic_pitch,0.1478786284804008,0.3135135415370577,0.1977525692238631,0.3369905240148094,0.249408915765137,0.5499201609224006,0.0862616992517045
MFCC Similarity,Trumpet,0.9775138898142453,MT3,0.0868929600157892,0.1736279155743765,0.1138500707637657,0.3408113222076251,0.2550903153171767,0.5780399274047187,0.0669449802156759
MFCC Similarity,Trumpet,0.9775138898142453,basic_pitch,0.0690576716618203,0.153886872353297,0.0947639436978334,0.2946788596577894,0.2195813442349433,0.4754990925589836,0.0494617552370701
Embedding Similarity,Trumpet,0.9532679072741804,MT3,0.0868929600157892,0.1736279155743765,0.1138500707637657,0.3408113222076251,0.2550903153171767,0.5780399274047187,0.0669449802156759
Embedding Similarity,Trumpet,0.9532679072741804,basic_pitch,0.0690576716618203,0.153886872353297,0.0947639436978334,0.2946788596577894,0.2195813442349433,0.4754990925589836,0.0494617552370701
MFCC Similarity,Violin,0.97157480696152,MT3,0.0017100817924106,0.0044195738388115,0.0024315153509841,0.2781924352378226,0.1906712401104341,0.5779433017409423,0.0004537205081669
MFCC Similarity,Violin,0.97157480696152,basic_pitch,0.0,0.0,0.0,0.277829233939371,0.1888908179793962,0.5679068360556564,0.0
Embedding Similarity,Violin,0.9425875544548036,MT3,0.0017100817924106,0.0044195738388115,0.0024315153509841,0.2781924352378226,0.1906712401104341,0.5779433017409423,0.0004537205081669
Embedding Similarity,Violin,0.9425875544548036,basic_pitch,0.0,0.0,0.0,0.277829233939371,0.1888908179793962,0.5679068360556564,0.0
