Metric Type,Model,Performance Metric,Pearson r,Pearson p,Spearman ρ,Spearman p
MFCC Similarity,MT3,Precision,0.009857885570107748,0.9901421144298923,0.39999999999999997,0.6
MFCC Similarity,MT3,Recall,0.030207893813054217,0.9697921061869459,0.39999999999999997,0.6
MFCC Similarity,MT3,F1,0.014210222265385092,0.985789777734615,0.39999999999999997,0.6
MFCC Similarity,MT3,Onset F1,-0.8959448023700383,0.10405519762996174,-0.7999999999999999,0.20000000000000007
MFCC Similarity,MT3,Onset-Offset F1,-0.004288046612535645,0.9957119533874643,0.39999999999999997,0.6
MFCC Similarity,basic_pitch,Precision,0.045888003042761756,0.9541119969572383,0.10540925533894598,0.894590744661054
MFCC Similarity,basic_pitch,Recall,0.04295360739143243,0.9570463926085675,0.10540925533894598,0.894590744661054
MFCC Similarity,basic_pitch,F1,0.04438607153447084,0.9556139284655292,0.10540925533894598,0.894590744661054
MFCC Similarity,basic_pitch,Onset F1,-0.8608175097809425,0.1391824902190575,-0.7999999999999999,0.20000000000000007
MFCC Similarity,basic_pitch,Onset-Offset F1,0.032821053640559976,0.96717894635944,0.10540925533894598,0.894590744661054
Embedding Similarity,MT3,Precision,0.9401979630057248,0.05980203699427511,0.7999999999999999,0.20000000000000007
Embedding Similarity,MT3,Recall,0.9350223287260637,0.06497767127393628,0.7999999999999999,0.20000000000000007
Embedding Similarity,MT3,F1,0.9399767962424194,0.060023203757580745,0.7999999999999999,0.20000000000000007
Embedding Similarity,MT3,Onset F1,0.6495455242314316,0.35045447576856836,0.39999999999999997,0.6
Embedding Similarity,MT3,Onset-Offset F1,0.9368071881391083,0.06319281186089176,0.7999999999999999,0.20000000000000007
Embedding Similarity,basic_pitch,Precision,0.8993820576804921,0.10061794231950794,0.9486832980505139,0.051316701949486114
Embedding Similarity,basic_pitch,Recall,0.9060287144480592,0.09397128555194079,0.9486832980505139,0.051316701949486114
Embedding Similarity,basic_pitch,F1,0.902860614497459,0.09713938550254086,0.9486832980505139,0.051316701949486114
Embedding Similarity,basic_pitch,Onset F1,0.6867121607631216,0.31328783923687853,0.39999999999999997,0.6
Embedding Similarity,basic_pitch,Onset-Offset F1,0.924422738540248,0.07557726145975208,0.9486832980505139,0.051316701949486114
